# ao_strehl_timeline predicted Strehl vs time
# night=2026-05-24 telescope=K1 tomography=on target=on wavelength=K-band (2200 nm)
# budget=refined-2026-07 tt_star=R15.2@19.3arcsec lgs_offset=4.97arcsec ngs_offset=0arcsec ltao_bw_factor=1.443(floor_frac=0.7) ltao_tt_theta0_gain=1 ngs_seeing_law=kolmogorov(anchor_sK=0.3) assumed_theta0=15arcsec(K,zenith)
# merged timeline, two row types by source= column:
#   source=dimm : one row per DIMM sample -- dimm seeing, r0, NGS Strehl (MASS-derived cols blank)
#   source=mass : one row per MASS profile -- mass seeing, LGS/LTAO Strehl, theta0, d0, plus the matched DIMM total seeing used as input (NGS cols blank)
# Strehl columns + theta0 are at the science wavelength; seeing columns are 500nm LINE-OF-SIGHT (zenith x airmass^(3/5)); r0 is 500nm at ZENITH; d0 is wavelength-independent (m)
# err_*_nm columns: per-sample error-budget terms in nm RMS on mass rows (line-of-sight-projected inputs). err_focal_single is the single-beacon focal-aniso (cone) term; err_alt_ltao is tomography + quadratic layer-mismatch. Fixed terms not tabulated: HO measurement 63.3, Na focus 42, static 122.5 (=K1: tel-aberr 74.7 + WFS-calib 57.9 + DM 33.6 + AO/instr 67.1 + registration 21.2, quad), margin 130 nm.
source,utc_iso,hst_iso,dimm_seeing_arcsec_los,mass_seeing_arcsec_los,zenith_factor,airmass,r0_cm_500nm,ngs_R8_strehl,ngs_R12_strehl,single_lgs_strehl,ltao_strehl,theta0_arcsec,d0_m,layer_mismatch,ngs_theta0_arcsec,err_fit_nm,err_scint_nm,err_ang_nm,err_bw_single_nm,err_bw_ltao_nm,err_focal_single_nm,err_alt_ltao_nm,err_tt_nm
mass,2026-05-25T07:30:34,2026-05-24T21:30:34,0.6400,0.6336,1.0000,1.0000,,,,0.1858,0.2253,8.047,0.595,0.525,,119.2,29.1,92.8,72.4,104.5,228.8,151.8,295.7
dimm,2026-05-25T07:31:06,2026-05-24T21:31:06,0.6400,,1.0000,1.0000,15.79,0.4490,0.4102,,,,,,,,,,,,,,
mass,2026-05-25T07:32:21,2026-05-24T21:32:21,0.7700,0.7623,1.0000,1.0000,,,,0.1148,0.1506,6.645,0.498,0.539,,139.0,34.0,108.2,84.5,121.9,266.9,174.0,342.2
dimm,2026-05-25T07:32:53,2026-05-24T21:32:53,0.7700,,1.0000,1.0000,13.13,0.4152,0.3791,,,,,,,,,,,,,,
mass,2026-05-25T07:34:09,2026-05-24T21:34:09,0.9400,0.9306,1.0000,1.0000,,,,0.0562,0.0860,5.734,0.430,0.499,,164.1,40.1,127.8,99.7,143.9,315.2,190.6,401.5
dimm,2026-05-25T07:34:41,2026-05-24T21:34:41,0.9400,,1.0000,1.0000,10.75,0.3691,0.3365,,,,,,,,,,,,,,
mass,2026-05-25T07:35:57,2026-05-24T21:35:57,0.9600,0.9504,1.0000,1.0000,,,,0.0513,0.0839,5.834,0.438,0.425,,167.1,40.8,130.1,101.5,146.4,320.7,177.1,408.4
dimm,2026-05-25T07:36:28,2026-05-24T21:36:28,0.9600,,1.0000,1.0000,10.53,0.3636,0.3315,,,,,,,,,,,,,,
mass,2026-05-25T07:37:45,2026-05-24T21:37:45,0.7700,0.7623,1.0000,1.0000,,,,0.1148,0.1575,6.329,0.479,0.442,,139.0,34.0,108.2,84.5,121.9,266.9,157.4,342.2
dimm,2026-05-25T07:38:16,2026-05-24T21:38:16,0.7700,,1.0000,1.0000,13.13,0.4152,0.3791,,,,,,,,,,,,,,
mass,2026-05-25T07:39:34,2026-05-24T21:39:34,0.6500,0.6435,1.0000,1.0000,,,,0.1794,0.2182,8.154,0.606,0.533,,120.7,29.5,94.0,73.3,105.8,231.8,154.5,299.3
dimm,2026-05-25T07:40:06,2026-05-24T21:40:06,0.6500,,1.0000,1.0000,15.55,0.4465,0.4079,,,,,,,,,,,,,,
mass,2026-05-25T07:41:24,2026-05-24T21:41:24,0.6900,0.6831,1.0000,1.0000,,,,0.1555,0.1963,7.983,0.590,0.503,,126.9,31.0,98.8,77.1,111.2,243.6,156.1,313.7
dimm,2026-05-25T07:41:55,2026-05-24T21:41:55,0.6900,,1.0000,1.0000,14.65,0.4363,0.3984,,,,,,,,,,,,,,
mass,2026-05-25T07:43:14,2026-05-24T21:43:14,0.6600,0.6534,1.0000,1.0000,,,,0.1732,0.2132,8.121,0.598,0.517,,122.3,29.9,95.2,74.3,107.2,234.7,153.7,302.9
dimm,2026-05-25T07:43:45,2026-05-24T21:43:45,0.6600,,1.0000,1.0000,15.31,0.4440,0.4056,,,,,,,,,,,,,,
mass,2026-05-25T07:45:03,2026-05-24T21:45:03,0.5600,0.5544,1.0000,1.0000,,,,0.2424,0.2783,9.223,0.683,0.553,,106.6,26.0,83.0,64.8,93.5,204.7,142.8,266.5
dimm,2026-05-25T07:45:35,2026-05-24T21:45:35,0.5600,,1.0000,1.0000,18.05,0.4688,0.4284,,,,,,,,,,,,,,
dimm,2026-05-25T07:47:24,2026-05-24T21:47:24,0.6200,,1.0000,1.0000,16.30,0.4541,0.4149,,,,,,,,,,,,,,
dimm,2026-05-25T07:49:14,2026-05-24T21:49:14,0.5400,,1.0000,1.0000,18.72,0.4735,0.4328,,,,,,,,,,,,,,
